persona;default;.naukri.com;/;null;true
_t_r;1030%2F%2F;.naukri.com;/;null;true
test;naukri.com;.naukri.com;/;Tue Nov 04 00:24:22 IST 2025;true
_t_s;direct;.naukri.com;/;Tue Oct 01 00:24:22 IST 2024;true
_t_ds;596f41b1727636064-4596f41b-0596f41b;.naukri.com;/;Tue Sep 30 00:24:22 IST 2025;true
J;0;.naukri.com;/;Tue Sep 30 00:24:25 IST 2025;true
ak_bmsc;CBC01F42FCB228450DD319BE77DAB68B~000000000000000000000000000000~YAAQJCEPF6nABTSSAQAAEE4iPxnuvMbKcqxa9OpBNIMOs478z798fvXPtna+NgLo0hjJnUrhfMAgXsvEqs9r5IsvvpT9Tf8IgYmayIXnOsxxHD3F1iS2RRIQy8dBvDhaDXoi+4GysDqnfxcrQW1x8me4Qa8wWMZNrBFjkLdl/Cz0+bzIjlI2f4vilmNFWt1uahtnTkLjLIpwRkD8buVVOQw+na/Y43UADgMt8JOEDgds93UQPRhA36DlYhN1UoYKKgGJvDv/sUMA3O713m0MRGa/aJ+0rBNzI0w45jT9QyA1+F8qqlHufM80Ubrmmv8y2hRsjrLU0llW2Px4YUcCYvgOBnJRuyI9vMjwRmAlneVBr3ZGCC3a+t1KhzSLamj4vl3DLW8im+8XuCkC27EWYUGrBCJ1/TnpXcxCHpa2kbIoByL6+/tW7e29kIs+ST4TeWP4/uB8q5lW/Z+jVna1E3GA4E02O5Pna4h8EN9HP6F7RjFu1CKkxNc4knLReFUkEqAoa3ycbP8a6Y8Hkh6JDNIxEkUBJg==;.naukri.com;/;Mon Sep 30 02:24:22 IST 2024;false
HOWTORT;cl=1727636065131&r=https%3A%2F%2Fwww.naukri.com%2F&nu=https%3A%2F%2Flogin.naukri.com%2FnLogin%2FLogin.php;.naukri.com;/;Mon Sep 30 00:26:25 IST 2024;true
_ga_K2YBNZVRLL;GS1.1.1727636063.1.0.1727636065.58.0.0;.naukri.com;/;Tue Nov 04 00:24:25 IST 2025;false
_ga_T749QGK6MQ;GS1.1.1727636063.1.0.1727636065.0.0.0;.naukri.com;/;Tue Nov 04 00:24:25 IST 2025;false
_ga;GA1.1.1583829982.1727636063;.naukri.com;/;Tue Nov 04 00:24:23 IST 2025;false
_t_us;66F9A260;.naukri.com;/;Mon Sep 30 00:54:22 IST 2024;true
_gcl_au;1.1.151366227.1727636063;.naukri.com;/;Sun Dec 29 00:24:23 IST 2024;false
